Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000067879.3,25011,22741,28523,23749,33357,41587,47131,44714
ENSMUSG00000099827.1,0,0,0,0,0,0,0,0
ENSMUSG00000025912.16,327,239,400,309,330,418,351,410
ENSMUSG00000045210.8,7426,5766,8542,7002,7680,10089,11033,10690
ENSMUSG00000097893.8,14,13,24,18,14,6,12,18
ENSMUSG00000025915.14,1004,797,1212,1110,1191,1413,1407,1245
ENSMUSG00000046334.4,1,0,0,0,0,2,0,1
ENSMUSG00000088916.1,0,0,0,0,0,0,0,0
ENSMUSG00000046101.16,154,112,199,136,105,187,147,122
ENSMUSG00000098234.7,487,469,675,444,531,702,798,525
ENSMUSG00000093178.1,1,1,9,1,7,7,4,8
ENSMUSG00000099032.2,48,31,68,51,62,58,27,34
ENSMUSG00000104025.1,0,0,0,1,0,0,0,2
ENSMUSG00000025916.10,45,43,47,40,46,62,51,66
ENSMUSG00000087199.1,0,0,0,0,0,0,0,2
ENSMUSG00000095780.1,0,0,2,0,1,0,0,0
ENSMUSG00000025917.9,5838,5041,5842,4883,5553,7852,8222,6986
ENSMUSG00000056763.16,906,808,1006,826,1003,1327,1189,1236
ENSMUSG00000102356.1,0,0,0,0,0,0,0,0
ENSMUSG00000067851.11,12210,8723,12588,11198,12068,17587,16116,17370
ENSMUSG00000088153.1,0,2,0,0,0,0,0,0
ENSMUSG00000102556.1,0,0,0,0,0,2,0,0
ENSMUSG00000042501.12,2,6,18,2,22,6,0,24
ENSMUSG00000103810.1,0,0,0,0,0,3,0,0
ENSMUSG00000083422.1,0,3,0,4,0,0,1,0
ENSMUSG00000094979.1,0,0,0,0,0,0,0,0
ENSMUSG00000081417.1,0,0,0,1,0,0,0,0
ENSMUSG00000103448.1,0,0,0,0,0,0,0,0
ENSMUSG00000100212.1,0,0,0,0,0,0,2,0
ENSMUSG00000100648.1,0,0,0,0,0,0,1,2
ENSMUSG00000088585.1,0,0,0,0,0,0,0,0
ENSMUSG00000048960.13,9590,6324,10285,7684,9692,9647,10399,10424
ENSMUSG00000077318.1,0,0,0,3,0,2,0,0
ENSMUSG00000101827.1,0,0,0,0,0,0,0,4
ENSMUSG00000103494.1,0,0,0,0,0,0,0,0
ENSMUSG00000057715.13,6574,5586,8273,6691,7902,10691,11128,10429
ENSMUSG00000103825.1,0,0,1,1,4,0,0,0
ENSMUSG00000099845.1,0,0,0,0,0,0,0,0
ENSMUSG00000103561.1,0,0,0,0,0,0,0,0
ENSMUSG00000101610.1,4,0,6,0,2,0,2,0
ENSMUSG00000093864.1,0,0,0,0,0,0,1,0
ENSMUSG00000098555.1,0,0,0,0,0,0,0,0
ENSMUSG00000097628.1,0,1,3,2,0,0,1,3
ENSMUSG00000098163.1,0,0,0,0,0,0,0,0
ENSMUSG00000097171.1,0,5,1,0,1,0,4,2
ENSMUSG00000101314.1,0,0,0,0,0,0,0,0
ENSMUSG00000016918.15,694,595,642,673,1238,1135,1358,1232
ENSMUSG00000025938.16,180,124,192,199,234,292,206,312
ENSMUSG00000104518.1,0,0,0,0,0,0,0,0
ENSMUSG00000069620.6,0,0,0,0,0,0,0,0
ENSMUSG00000099498.1,0,0,0,0,0,0,0,0
ENSMUSG00000042414.7,0,0,0,2,0,2,4,1
ENSMUSG00000005886.14,8530,5855,9290,8168,8635,11052,10701,11627
ENSMUSG00000103506.1,2,0,0,0,0,4,1,0
ENSMUSG00000103495.1,0,0,0,0,0,0,0,0
ENSMUSG00000099183.1,0,0,0,0,0,0,0,0
ENSMUSG00000102639.1,0,0,0,0,0,0,0,0
ENSMUSG00000104170.1,0,0,0,0,0,0,0,0
ENSMUSG00000087782.1,0,0,0,0,0,0,0,0
ENSMUSG00000103085.1,1,1,0,1,0,3,2,0
ENSMUSG00000102664.1,0,2,2,2,0,0,0,0
ENSMUSG00000101476.1,4,4,5,0,0,1,0,4
ENSMUSG00000101171.1,2,0,0,0,0,0,0,0
ENSMUSG00000025935.10,2388,2099,3162,2439,2997,2814,3657,3369
ENSMUSG00000025937.6,960,610,1079,828,1044,1392,1108,1212
ENSMUSG00000102982.1,2,2,6,2,0,1,1,2
ENSMUSG00000067813.3,1,2,0,0,4,1,2,6
ENSMUSG00000077368.1,0,0,0,0,0,0,0,0
ENSMUSG00000097711.1,2,6,1,4,3,7,4,3
ENSMUSG00000102166.1,0,0,0,0,0,0,0,3
ENSMUSG00000089358.1,0,0,0,0,0,0,0,0
ENSMUSG00000104209.1,0,0,1,0,0,0,0,0
ENSMUSG00000025932.14,1083,894,1339,1342,1185,1220,1271,1306
ENSMUSG00000095853.1,0,0,1,0,0,0,0,0
ENSMUSG00000102588.1,0,0,0,0,0,0,0,0
ENSMUSG00000054493.2,62,63,102,82,57,111,111,115
ENSMUSG00000025930.6,109,123,166,165,130,189,194,224
ENSMUSG00000103492.1,36,47,66,52,35,94,42,66
ENSMUSG00000081201.1,2,0,0,5,7,2,5,3
ENSMUSG00000082193.1,3,6,6,7,4,12,10,7
